epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,3821.4,1.87555,0.95468,0.85745,0.81762,0.65653,0.7308,0.30542,1.94448,0.95175,0.90186,0.0010496,0.0010496,0.0010496
98,3860.91,1.87626,0.96188,0.86113,0.83247,0.69075,0.73459,0.31587,1.85053,0.92174,0.89735,0.0010397,0.0010397,0.0010397
99,3900.77,1.8769,0.98791,0.85841,0.80458,0.66033,0.71548,0.3052,1.87173,0.90506,0.89633,0.0010298,0.0010298,0.0010298
100,3940.33,1.88235,0.97663,0.85692,0.78206,0.67807,0.72935,0.31147,1.86508,0.87405,0.89631,0.0010199,0.0010199,0.0010199
101,3979.82,1.8858,0.95947,0.85328,0.84705,0.67934,0.75387,0.32411,1.87409,0.88635,0.89862,0.00101,0.00101,0.00101
102,4019.4,1.86608,0.95251,0.861,0.82848,0.66731,0.73915,0.32072,1.8673,0.8983,0.9019,0.0010001,0.0010001,0.0010001
103,4058.72,1.85315,0.97548,0.86109,0.837,0.67934,0.74211,0.31236,1.86306,0.89263,0.90012,0.0009902,0.0009902,0.0009902
104,4097.99,1.86186,0.94374,0.86333,0.81685,0.67681,0.73369,0.30549,1.85989,0.93093,0.90126,0.0009803,0.0009803,0.0009803
105,4137.24,1.89928,0.97837,0.86166,0.81688,0.68978,0.74947,0.31727,1.89821,0.87566,0.90448,0.0009704,0.0009704,0.0009704
106,4176.5,1.86123,0.93574,0.85805,0.8346,0.6971,0.75926,0.32297,1.8663,0.88853,0.90554,0.0009605,0.0009605,0.0009605
107,4215.85,1.85364,0.95567,0.85583,0.81093,0.67554,0.74052,0.32111,1.87027,0.8735,0.90134,0.0009506,0.0009506,0.0009506
108,4255.19,1.8582,0.94827,0.85292,0.80972,0.68441,0.74045,0.31128,1.89483,0.92029,0.89801,0.0009407,0.0009407,0.0009407
109,4294.51,1.84042,0.93145,0.85726,0.81618,0.68657,0.74054,0.31914,1.87154,0.91413,0.90463,0.0009308,0.0009308,0.0009308
110,4333.78,1.86083,0.97022,0.84886,0.83839,0.673,0.72808,0.30933,1.90159,0.9556,0.9027,0.0009209,0.0009209,0.0009209
111,4373.12,1.81079,0.91729,0.85542,0.79016,0.69582,0.72844,0.31645,1.86636,0.91991,0.89754,0.000911,0.000911,0.000911
112,4412.29,1.85168,0.951,0.85744,0.81629,0.673,0.73582,0.32152,1.88945,0.91249,0.89523,0.0009011,0.0009011,0.0009011
113,4451.61,1.82783,0.95967,0.84629,0.81916,0.66667,0.72693,0.31859,1.86696,0.94543,0.89751,0.0008912,0.0008912,0.0008912
114,4490.82,1.83981,0.92715,0.85147,0.80766,0.69188,0.73971,0.32136,1.85803,0.91311,0.89981,0.0008813,0.0008813,0.0008813
115,4530.2,1.84308,0.94177,0.85854,0.81715,0.67934,0.74276,0.32021,1.89375,0.87767,0.90144,0.0008714,0.0008714,0.0008714
116,4569.57,1.81366,0.91977,0.855,0.79539,0.67427,0.72339,0.3128,1.86991,0.92904,0.90479,0.0008615,0.0008615,0.0008615
117,4608.9,1.81037,0.91094,0.85353,0.81772,0.67427,0.74568,0.32429,1.88565,0.91785,0.90673,0.0008516,0.0008516,0.0008516
118,4648.08,1.84833,0.93939,0.85751,0.79953,0.68241,0.73278,0.31651,1.87183,0.94482,0.90423,0.0008417,0.0008417,0.0008417
119,4687.21,1.80898,0.90143,0.84784,0.81421,0.68061,0.72998,0.3189,1.8677,0.92651,0.89875,0.0008318,0.0008318,0.0008318
